Day 35,Day 39,Day 37,Day 38,Day 41,Day 36,Day 33,Day 34,Day 40,Day 32,Day 30,Day 28,Day 31,Day 27,Day 29,Day 26,Day 25,Day 24,Day 22,Day 23,Day 21,Day 20,Day 19,Day 18,Day 16,Day 17,Day 15,Day 14,Day 12,Day 13,Day 10,Day 11,Day 2,Day 4,Day 1,Day 3,Day 5,Day 6,Day 7,Day 9,Day 8
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c

0.6235294117647059,0.8235294117647058,1.1411764705882352,0.8941176470588236,0.9647058823529412,0.7176470588235294,0.4235294117647059,1.035294117647059,0.6235294117647059,0.47058823529411764,1.6941176470588235,2.223529411764706,1.1411764705882352,1.423529411764706,2.3294117647058825,1.964705882352941,1.9411764705882353,2.3411764705882354,1.988235294117647,1.9411764705882353,12.094117647058823,11.364705882352942,12.776470588235295,15.658823529411764,26.95294117647059,16.811764705882354,25.258823529411764,25.176470588235293,15.623529411764705,24.55294117647059,11.541176470588235,11.776470588235295,9.388235294117647,8.470588235294118,9.870588235294118,7.1647058823529415,8.529411764705882,8.282352941176471,10.776470588235295,9.788235294117648,9.882352941176471
3.6666666666666665,2.6666666666666665,3.0,5.666666666666667,2.0,4.333333333333333,6.333333333333333,3.6666666666666665,2.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,9.0,1.6666666666666667,3.6666666666666665,7.666666666666667,6.333333333333333,4.0,13.333333333333334,37.666666666666664,22.333333333333332,14.0,30.333333333333332,42.333333333333336,33.333333333333336,32.666666666666664,21.666666666666668,38.666666666666664,88.0,48.333333333333336,49.0,50.0,43.666666666666664,47.333333333333336,45.666666666666664,30.666666666666668,60.0,56.333333333333336,43.0,59.333333333333336
2.225,3.775,2.825,2.375,2.775,4.3,2.3,3.75,2.2,3.725,4.975,6.85,4.575,6.6,4.775,3.825,5.6,4.425,6.625,8.925,14.825,15.55,13.6,15.4,22.075,19.45,15.125,31.5,21.5,22.4,31.85,29.75,21.6,15.0,18.15,20.425,17.0,24.225,25.4,27.025,25.675
0.14442013129102846,0.24288840262582057,0.17943107221006566,0.28665207877461707,0.23851203501094093,0.17286652078774617,0.24726477024070023,0.3282275711159737,0.2363238512035011,0.3085339168490153,0.28227571115973743,0.33916849015317285,0.30196936542669583,0.4135667396061269,0.28227571115973743,0.31947483588621445,0.3676148796498906,0.2844638949671772,0.474835886214442,0.38293216630196936,5.800875273522976,4.564551422319475,4.601750547045952,6.076586433260394,8.172866520787746,7.667396061269146,7.62800875273523,8.86652078774617,8.12253829321663,8.194748358862144,8.61925601750547,7.356673960612691,7.573304157549234,7.227571115973742,8.223194748358862,7.111597374179431,7.426695842450766,7.203501094091903,7.411378555798687,8.194748358862144,6.8402625820568925
0.041666666666666664,0.06770833333333333,0.09895833333333333,0.109375,0.057291666666666664,0.171875,0.041666666666666664,0.24479166666666666,0.036458333333333336,0.17708333333333334,0.16145833333333334,0.24479166666666666,0.078125,0.328125,0.171875,0.4010416666666667,0.2552083333333333,0.21875,0.5729166666666666,0.3645833333333333,11.65625,12.130208333333334,10.59375,12.317708333333334,12.489583333333334,13.119791666666666,11.161458333333334,12.140625,11.020833333333334,10.947916666666666,13.921875,12.166666666666666,13.859375,12.552083333333334,13.911458333333334,13.692708333333334,11.692708333333334,12.369791666666666,13.213541666666666,13.5,14.005208333333334
0.0794392523364486,0.07126168224299065,0.08878504672897196,0.09929906542056074,0.11565420560747663,0.12266355140186916,0.10397196261682243,0.20327102803738317,0.10864485981308411,0.13200934579439252,0.17406542056074767,0.2803738317757009,0.16238317757009346,0.20210280373831777,0.1647196261682243,0.22780373831775702,0.2628504672897196,0.18574766355140188,0.31542056074766356,0.2266355140186916,4.264018691588785,3.9264018691588785,3.647196261682243,3.6518691588785046,4.619158878504673,4.015186915887851,3.772196261682243,3.7792056074766354,3.1728971962616823,3.453271028037383,3.4801401869158877,2.9450934579439254,3.6845794392523366,2.5771028037383177,4.105140186915888,2.9883177570093458,3.0490654205607477,3.0876168224299065,2.989485981308411,3.3399532710280373,2.946261682242991
84.0,49.0,16.0,32.0,28.0,25.0,24.0,21.0,33.0,2.0,11.0,17.0,4.0,4.0,5.0,2.0,8.0,12.0,9.0,7.0,26.0,71.0,109.0,82.0,112.0,75.0,34.0,63.0,72.0,146.0,137.0,94.0,58.0,55.0,65.0,46.0,14.0,28.0,110.0,63.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,47.0,1.0,4.0,0.0,2.0,0.0,135.0,155.0,177.0,376.0
0.06417112299465241,0.11764705882352941,0.16042780748663102,0.12834224598930483,0.0427807486631016,0.1711229946524064,0.06417112299465241,0.0962566844919786,0.1657754010695187,0.12299465240641712,0.1657754010695187,0.32620320855614976,0.40641711229946526,0.3850267379679144,0.3422459893048128,0.39572192513368987,0.31016042780748665,0.3315508021390374,0.39572192513368987,0.5989304812834224,0.6684491978609626,0.5935828877005348,0.732620320855615,0.7165775401069518,0.8663101604278075,0.8288770053475936,0.7647058823529411,0.8128342245989305,0.786096256684492,1.0374331550802138,7.962566844919786,7.090909090909091,8.090909090909092,8.898395721925134,8.491978609625669,7.737967914438503,8.850267379679144,8.689839572192513,13.224598930481283,9.101604278074866,19.90909090909091
0.045020463847203276,0.04638472032742155,0.040927694406548434,0.019099590723055934,0.06002728512960437,0.027285129604365622,0.009549795361527967,0.036834924965893585,0.03547066848567531,0.03274215552523874,0.06821282401091405,0.07639836289222374,0.03956343792633015,0.07503410641200546,0.08731241473396999,0.0791268758526603,0.021828103683492497,0.06548431105047749,0.054570259208731244,0.0927694406548431,0.2605729877216917,0.19918144611186903,0.24283765347885403,0.33560709413369716,0.4542974079126876,0.40791268758526605,0.3601637107776262,0.4229195088676671,0.35743519781718963,0.4147339699863574,6.275579809004093,4.252387448840382,4.062755798090041,4.638472032742156,4.61118690313779,4.5184174624829465,4.596180081855389,5.315143246930423,5.612551159618008,6.493860845839018,5.467939972714871
